taxonId,superkingdom,genus,species
1001744,Bacteria,Streptococcus,Streptococcus pneumoniae
1001745,Bacteria,Streptococcus,Streptococcus pneumoniae
1001746,Bacteria,Streptococcus,Streptococcus pneumoniae
1001747,Bacteria,Streptococcus,Streptococcus pneumoniae
1001822,Bacteria,Cupriavidus,Cupriavidus sp. ASC-9842
1001986,Bacteria,Leptospira,Leptospira interrogans
1001987,Bacteria,Leptospira,Leptospira interrogans
1001988,Bacteria,Escherichia,Escherichia coli
1001989,Bacteria,Escherichia,Escherichia coli
1001991,Bacteria,Escherichia,Escherichia coli
1002116,Bacteria,Pigmentiphaga,Pigmentiphaga sp. D-2
100217,Viruses,Ranavirus,Epizootic haematopoietic necrosis virus
100220,Viruses,Ranavirus,Bohle iridovirus
100225,Bacteria,Austwickia,Austwickia chelonae
100226,Bacteria,Streptomyces,Streptomyces coelicolor
1002273,Viruses,Gyrovirus,Avian gyrovirus 2
1002340,Bacteria,Leisingera,Leisingera sp. ANG1
1002359,Viruses,Sigmavirus,Drosophila ananassae sigmavirus
1002360,Viruses,Sigmavirus,Drosophila immigrans sigmavirus
1002361,Viruses,Sigmavirus,Drosophila tristis sigmavirus
1002362,Viruses,Sigmavirus,Muscina stabulans sigmavirus
1002364,Bacteria,Hafnia,Hafnia alvei
1002365,Bacteria,Lactobacillus,Lactobacillus rhamnosus
1002366,Bacteria,Listeria,Listeria innocua
1002367,Bacteria,Prevotella,Prevotella stercorea
1002368,Bacteria,Yokenella,Yokenella regensburgei
1002369,Bacteria,Clostridioides,Clostridioides difficile
1002526,Bacteria,Pseudomonas,Pseudomonas formosensis
1002672,Bacteria,Candidatus Pelagibacter,Candidatus Pelagibacter sp. IMCC9063
1002681,Viruses,Begomovirus,Sida golden mosaic Lara virus
1002691,Bacteria,Occallatibacter,Occallatibacter savannae
1002724,Viruses,Tunavirus,Shigella virus Shfl1
1002725,Viruses,Tequatrovirus,Shigella virus Shfl2
1002804,Bacteria,Helicobacter,Helicobacter bizzozeronii
1002805,Bacteria,Helicobacter,Helicobacter bizzozeronii
1002809,Bacteria,Solibacillus,Solibacillus silvestris
1002870,Bacteria,Gaiella,Gaiella occulta
1002918,Viruses,Sapelovirus,Sapelovirus B
1002921,Viruses,Sapelovirus,Sapelovirus A
1003,Bacteria,Thermoflexibacter,Thermoflexibacter ruber
1003110,Bacteria,Verrucosispora,Verrucosispora maris
1003177,Viruses,,Vibrio phage qdvp001
1003185,Bacteria,Salmonella,Salmonella enterica
1003186,Bacteria,Salmonella,Salmonella enterica
1003187,Bacteria,Salmonella,Salmonella enterica
1003188,Bacteria,Salmonella,Salmonella enterica
1003189,Bacteria,Salmonella,Salmonella enterica
1003191,Bacteria,Salmonella,Salmonella enterica
1003195,Bacteria,Streptomyces,Streptomyces cattleya
1003200,Bacteria,Achromobacter,Achromobacter insuavis
1003201,Bacteria,Rickettsia,Rickettsia typhi
1003202,Bacteria,Rickettsia,Rickettsia typhi
1003237,Bacteria,Nitrospirillum,Nitrospirillum amazonense
1003238,Bacteria,Chlamydia,Chlamydia abortus
1003239,Bacteria,Bacillus,Bacillus cereus
1003335,Eukaryota,Kluyveromyces,Kluyveromyces marxianus
1003835,Viruses,Banyangvirus,Huaiyangshan banyangvirus
1003891,Viruses,Divavirus,Hardenbergia virus A
1004,Bacteria,Chitinophaga,Chitinophaga sancti
1004049,Viruses,,Spissistilus festinus reovirus
1004150,Bacteria,Photorhabdus,Photorhabdus khanii
1004151,Bacteria,Photorhabdus,Photorhabdus khanii
1004152,Bacteria,Mycoplasma,Mycoplasma flocculare
1004153,Bacteria,Escherichia,Escherichia coli
1004159,Bacteria,Photorhabdus,Photorhabdus tasmaniensis
1004279,Bacteria,Mesorhizobium,Mesorhizobium muleiense
1004304,Bacteria,Hydrotalea,Hydrotalea sandarakina
1004316,Bacteria,Vibrio,Vibrio sonorensis
1004326,Bacteria,Vibrio,Vibrio mexicanus
100469,Bacteria,Schaalia,Schaalia canis
1004785,Bacteria,Alteromonas,Alteromonas macleodii
1004786,Bacteria,Alteromonas,Alteromonas mediterranea
1004787,Bacteria,Alteromonas,Alteromonas macleodii
1004788,Bacteria,Alteromonas,Alteromonas macleodii
100480,Bacteria,,Cytophagales bacterium B6
1004836,Bacteria,Gluconacetobacter,Gluconacetobacter sp. SXCC-1
1004901,Bacteria,Gordonia,Gordonia iterans
1004951,Bacteria,Streptococcus,Streptococcus suis
1004952,Bacteria,Streptococcus,Streptococcus suis
1004953,Bacteria,Staphylococcus,Staphylococcus aureus
1004954,Bacteria,Brucella,Brucella suis
1004955,Bacteria,Brucella,Brucella melitensis
1004956,Bacteria,Brucella,Brucella melitensis
1004957,Bacteria,Brucella,Brucella melitensis
1005041,Bacteria,Streptococcus,Streptococcus suis
1005042,Bacteria,Streptococcus,Streptococcus suis
1005043,Bacteria,Candidatus Regiella,Candidatus Regiella insecticola
1005048,Bacteria,Collimonas,Collimonas fungivorans
1005056,Viruses,Chivirus,Salmonella virus iEPS5
1005057,Bacteria,Buchnera,Buchnera aphidicola
1005058,Bacteria,Gallibacterium,Gallibacterium anatis
1005090,Bacteria,Buchnera,Buchnera aphidicola
1005394,Bacteria,Salmonella,Salmonella enterica
1005395,Bacteria,Pseudomonas,Pseudomonas putida
1005396,Bacteria,Escherichia,Escherichia coli
1005397,Bacteria,Escherichia,Escherichia coli
1005398,Bacteria,Escherichia,Escherichia coli
1005399,Bacteria,Escherichia,Escherichia coli
1005400,Bacteria,Escherichia,Escherichia coli
1005401,Bacteria,Escherichia,Escherichia coli
1005402,Bacteria,Escherichia,Escherichia coli
1005403,Bacteria,Escherichia,Escherichia coli
1005404,Bacteria,Escherichia,Escherichia coli
1005405,Bacteria,Escherichia,Escherichia coli
1005406,Bacteria,Escherichia,Escherichia coli
1005407,Bacteria,Escherichia,Escherichia coli
1005408,Bacteria,Escherichia,Escherichia coli
1005410,Bacteria,Escherichia,Escherichia coli
1005411,Bacteria,Escherichia,Escherichia coli
1005412,Bacteria,Escherichia,Escherichia coli
1005413,Bacteria,Escherichia,Escherichia coli
1005414,Bacteria,Escherichia,Escherichia coli
1005415,Bacteria,Escherichia,Escherichia coli
1005416,Bacteria,Escherichia,Escherichia coli
1005418,Bacteria,Escherichia,Escherichia coli
1005419,Bacteria,Escherichia,Escherichia coli
1005420,Bacteria,Escherichia,Escherichia coli
1005421,Bacteria,Escherichia,Escherichia coli
1005422,Bacteria,Escherichia,Escherichia coli
1005423,Bacteria,Escherichia,Escherichia coli
1005424,Bacteria,Escherichia,Escherichia coli
1005430,Bacteria,Escherichia,Escherichia coli
1005431,Bacteria,Escherichia,Escherichia coli
1005432,Bacteria,Escherichia,Escherichia coli
1005433,Bacteria,Escherichia,Escherichia coli
1005434,Bacteria,Escherichia,Escherichia coli
1005435,Bacteria,Escherichia,Escherichia coli
1005436,Bacteria,Escherichia,Escherichia coli
1005437,Bacteria,Escherichia,Escherichia coli
1005438,Bacteria,Escherichia,Escherichia coli
1005439,Bacteria,Escherichia,Escherichia coli
1005440,Bacteria,Escherichia,Escherichia coli
1005441,Bacteria,Escherichia,Escherichia coli
1005442,Bacteria,Escherichia,Escherichia coli
1005450,Bacteria,Escherichia,Escherichia coli
1005452,Bacteria,Escherichia,Escherichia coli
1005455,Bacteria,Escherichia,Escherichia coli
1005460,Bacteria,Escherichia,Escherichia coli
1005461,Bacteria,Escherichia,Escherichia coli
1005462,Bacteria,Escherichia,Escherichia coli
1005463,Bacteria,Escherichia,Escherichia coli
1005464,Bacteria,Escherichia,Escherichia coli
1005466,Bacteria,Escherichia,Escherichia coli
1005467,Bacteria,Escherichia,Escherichia coli
1005469,Bacteria,Escherichia,Escherichia coli
1005470,Bacteria,Escherichia,Escherichia coli
1005471,Bacteria,Escherichia,Escherichia coli
1005472,Bacteria,Escherichia,Escherichia coli
1005473,Bacteria,Escherichia,Escherichia coli
1005474,Bacteria,Escherichia,Escherichia coli
1005475,Bacteria,Escherichia,Escherichia coli
1005476,Bacteria,Escherichia,Escherichia coli
1005477,Bacteria,Escherichia,Escherichia coli
1005478,Bacteria,Escherichia,Escherichia coli
1005479,Bacteria,Escherichia,Escherichia coli
1005480,Bacteria,Escherichia,Escherichia coli
1005481,Bacteria,Escherichia,Escherichia coli
1005482,Bacteria,Escherichia,Escherichia coli
1005483,Bacteria,Escherichia,Escherichia coli
1005484,Bacteria,Escherichia,Escherichia coli
1005485,Bacteria,Escherichia,Escherichia coli
1005486,Bacteria,Escherichia,Escherichia coli
1005487,Bacteria,Escherichia,Escherichia coli
1005488,Bacteria,Escherichia,Escherichia coli
1005489,Bacteria,Escherichia,Escherichia coli
1005490,Bacteria,Escherichia,Escherichia coli
1005491,Bacteria,Escherichia,Escherichia coli
1005492,Bacteria,Escherichia,Escherichia coli
1005493,Bacteria,Escherichia,Escherichia coli
1005494,Bacteria,Escherichia,Escherichia coli
1005495,Bacteria,Escherichia,Escherichia coli
1005496,Bacteria,Escherichia,Escherichia coli
1005497,Bacteria,Escherichia,Escherichia coli
1005498,Bacteria,Escherichia,Escherichia coli
1005499,Bacteria,Escherichia,Escherichia coli
1005500,Bacteria,Escherichia,Escherichia coli
1005501,Bacteria,Escherichia,Escherichia coli
1005502,Bacteria,Escherichia,Escherichia coli
1005503,Bacteria,Escherichia,Escherichia coli
1005504,Bacteria,Escherichia,Escherichia coli
1005505,Bacteria,Escherichia,Escherichia coli
1005506,Bacteria,Escherichia,Escherichia coli
1005507,Bacteria,Escherichia,Escherichia coli
1005508,Bacteria,Escherichia,Escherichia coli
1005509,Bacteria,Escherichia,Escherichia coli
1005510,Bacteria,Escherichia,Escherichia coli
1005511,Bacteria,Escherichia,Escherichia coli
1005512,Bacteria,Escherichia,Escherichia coli
1005513,Bacteria,Escherichia,Escherichia coli
1005514,Bacteria,Escherichia,Escherichia coli
1005515,Bacteria,Escherichia,Escherichia coli
1005516,Bacteria,Escherichia,Escherichia coli
1005517,Bacteria,Escherichia,Escherichia coli
1005518,Bacteria,Escherichia,Escherichia coli
1005519,Bacteria,Escherichia,Escherichia coli
1005520,Bacteria,Escherichia,Escherichia coli
1005521,Bacteria,Escherichia,Escherichia coli
1005522,Bacteria,Escherichia,Escherichia coli
1005523,Bacteria,Escherichia,Escherichia coli
1005524,Bacteria,Escherichia,Escherichia coli
1005526,Bacteria,Escherichia,Escherichia coli
1005527,Bacteria,Escherichia,Escherichia coli
1005528,Bacteria,Escherichia,Escherichia coli
1005529,Bacteria,Escherichia,Escherichia coli
1005530,Bacteria,Escherichia,Escherichia coli
1005531,Bacteria,Escherichia,Escherichia coli
1005532,Bacteria,Escherichia,Escherichia coli
1005533,Bacteria,Escherichia,Escherichia coli
1005534,Bacteria,Escherichia,Escherichia coli
1005535,Bacteria,Escherichia,Escherichia coli
1005536,Bacteria,Escherichia,Escherichia coli
1005537,Bacteria,Escherichia,Escherichia coli
1005538,Bacteria,Escherichia,Escherichia coli
1005539,Bacteria,Escherichia,Escherichia coli
1005540,Bacteria,Escherichia,Escherichia coli
1005541,Bacteria,Escherichia,Escherichia coli
1005542,Bacteria,Escherichia,Escherichia coli
1005543,Bacteria,Escherichia,Escherichia coli
1005544,Bacteria,Escherichia,Escherichia coli
1005545,Bacteria,Escherichia,Escherichia coli
1005546,Bacteria,Escherichia,Escherichia coli
1005547,Bacteria,Escherichia,Escherichia coli
1005548,Bacteria,Escherichia,Escherichia coli
1005549,Bacteria,Escherichia,Escherichia coli
1005550,Bacteria,Escherichia,Escherichia coli
1005551,Bacteria,Escherichia,Escherichia coli
1005552,Bacteria,Escherichia,Escherichia coli
1005553,Bacteria,Escherichia,Escherichia coli
1005554,Bacteria,Escherichia,Escherichia coli
1005555,Bacteria,Escherichia,Escherichia coli
1005557,Bacteria,Escherichia,Escherichia coli
1005558,Bacteria,Escherichia,Escherichia coli
1005559,Bacteria,Escherichia,Escherichia coli
1005560,Bacteria,Escherichia,Escherichia coli
1005561,Bacteria,Escherichia,Escherichia coli
1005562,Bacteria,Escherichia,Escherichia coli
1005563,Bacteria,Escherichia,Escherichia coli
1005564,Bacteria,Escherichia,Escherichia coli
1005565,Bacteria,Escherichia,Escherichia coli
1005566,Bacteria,Escherichia,Escherichia coli
1005567,Bacteria,Escherichia,Escherichia coli
1005665,Bacteria,Kosakonia,Kosakonia oryzendophytica
1005667,Bacteria,Kosakonia,Kosakonia oryziphila
1005704,Bacteria,Streptococcus,Streptococcus oralis
1005705,Bacteria,Streptococcus,Streptococcus infantis
1005706,Bacteria,Streptococcus,Streptococcus dysgalactiae
1005740,Bacteria,Aminivibrio,Aminivibrio pyruvatiphilus
1005926,Bacteria,Muricauda,Muricauda taeanensis
1005928,Bacteria,Roseovarius,Roseovarius lutimaris
1005941,Bacteria,Planococcus,Planococcus halocryophilus
1005944,Bacteria,Nocardioides,Nocardioides szechwanensis
1005945,Bacteria,Nocardioides,Nocardioides psychrotolerans
1005994,Bacteria,Trabulsiella,Trabulsiella guamensis
1005995,Bacteria,Tatumella,Tatumella ptyseos
1005996,Bacteria,Raoultella,Raoultella planticola
1005999,Bacteria,Leminorella,Leminorella grimontii
1006000,Bacteria,Kluyvera,Kluyvera ascorbata
1006003,Bacteria,Citrobacter,Citrobacter freundii
1006004,Bacteria,Buttiauxella,Buttiauxella agrestis
1006007,Bacteria,Bacillus,Bacillus megaterium
1006061,Viruses,Avihepatovirus,Avihepatovirus A
1006155,Bacteria,Listeria,Listeria weihenstephanensis
1006543,Bacteria,Staphylococcus,Staphylococcus aureus
1006551,Bacteria,Klebsiella,Klebsiella michiganensis
1006554,Bacteria,Acetobacter,Acetobacter pasteurianus
1006576,Bacteria,Defluviitoga,Defluviitoga tunisiensis
1006579,Bacteria,Corynebacterium,Corynebacterium ulcerans
1006581,Bacteria,Mycoplasma,Mycoplasma gallisepticum
1006583,Viruses,Phlebovirus,Aguacate virus
1006598,Bacteria,Serratia,Serratia plymuthica
1006623,Bacteria,Aeromonas,Aeromonas cavernicola
1006972,Viruses,Firehammervirus,Campylobacter virus IBB35
1007064,Bacteria,Streptococcus,Streptococcus suis
1007065,Bacteria,Escherichia,Escherichia coli
1007096,Bacteria,Oscillibacter,Oscillibacter ruminantium
1007099,Bacteria,Pseudomonas,Pseudomonas kuykendallii
1007103,Bacteria,Paenibacillus,Paenibacillus elgii
1007104,Bacteria,Sphingomonas,Sphingomonas sp. S17
1007105,Bacteria,Pusillimonas,Pusillimonas sp. T7-7
1007127,Viruses,Kayvirus,Staphylococcus virus Sb1
1007511,Bacteria,Sphingobium,Sphingobium limneticum
100755,Viruses,Begomovirus,Sweet potato leaf curl virus
1007654,Bacteria,Bacillus,Bacillus sp. 916
1007676,Bacteria,Lactobacillus,Lactobacillus ginsenosidimutans
100785,Viruses,Pospiviroid,Tomato chlorotic dwarf viroid
1007869,Viruses,,Rhodococcus phage E3
1007870,Bacteria,Chlamydia,Chlamydia trachomatis
1007871,Bacteria,Chlamydia,Chlamydia trachomatis
1008292,Viruses,Trichomonasvirus,Trichomonas vaginalis virus 4
1008297,Bacteria,Salmonella,Salmonella enterica
1008298,Bacteria,Mycobacterium,Mycobacterium leprae
1008305,Bacteria,Fervidobacterium,Fervidobacterium thailandense
1008452,Bacteria,Streptococcus,Streptococcus mitis
1008453,Bacteria,Streptococcus,Streptococcus mitis
1008454,Bacteria,Staphylococcus,Staphylococcus epidermidis
1008457,Bacteria,Myroides,Myroides injenensis
1008459,Bacteria,Taylorella,Taylorella asinigenitalis
100884,Bacteria,Coprobacillus,Coprobacillus cateniformis
100886,Bacteria,Catenibacterium,Catenibacterium mitsuokai
100887,Viruses,Furovirus,Soil-borne cereal mosaic virus
100901,Bacteria,Wolbachia,Wolbachia endosymbiont of Onchocerca ochengi
1009370,Bacteria,Acetonema,Acetonema longum
1009417,Bacteria,,Verrucomicrobia bacterium SCGC AAA164-L15
1009420,Bacteria,,Verrucomicrobia bacterium SCGC AAA164-O14
1009423,Bacteria,,Verrucomicrobia bacterium SCGC AAA168-F10
1009464,Bacteria,Gardnerella,Gardnerella vaginalis
1009714,Bacteria,Pseudomonas,Pseudomonas aeruginosa
1009846,Bacteria,Burkholderia,Burkholderia cepacia
1009852,Bacteria,Comamonas,Comamonas testosteroni
1009854,Bacteria,Xanthomonas,Xanthomonas oryzae
1009856,Bacteria,Buchnera,Buchnera aphidicola
1009857,Bacteria,Buchnera,Buchnera aphidicola
1009858,Bacteria,Buchnera,Buchnera aphidicola
1009859,Bacteria,Buchnera,Buchnera aphidicola
1010,Bacteria,Sphingobacterium,Sphingobacterium mizutaii
1010610,Bacteria,Methylobacterium,Methylobacterium gnaphalii
1010611,Bacteria,Lutimaribacter,Lutimaribacter litoralis
1010614,Viruses,Rosenblumvirus,Staphylococcus phage S24-1
1010616,Viruses,Tymovirus,Tomato blistering mosaic tymovirus
1010676,Bacteria,Candidatus Tremblaya,Candidatus Tremblaya phenacola
101070,Bacteria,Rummeliibacillus,Rummeliibacillus pycnus
1010817,Bacteria,Escherichia,Escherichia coli
1010834,Bacteria,Mycobacterium,Mycobacterium tuberculosis
1010835,Bacteria,Mycobacterium,Mycobacterium tuberculosis
1010836,Bacteria,Mycobacterium,Mycobacterium tuberculosis
1010838,Bacteria,Mycobacterium,Mycobacterium avium
1010840,Bacteria,Streptococcus,Streptococcus pyogenes
101281,Viruses,Potyvirus,Tuberose mild mosaic virus
101383,Bacteria,Cryomorpha,Cryomorpha ignava
1014,Bacteria,Weeksella,Weeksella virosa
1015,Bacteria,Bergeyella,Bergeyella zoohelcum
101510,Bacteria,Rhodococcus,Rhodococcus jostii
101564,Bacteria,Pseudomonas,Pseudomonas alcaliphila
101570,Viruses,,Enterobacteria phage ES18
101571,Bacteria,Burkholderia,Burkholderia ubonensis
1016852,Viruses,Badnavirus,Banana streak CA virus
1016853,Viruses,Badnavirus,Banana streak IM virus
1016854,Viruses,Badnavirus,Banana streak UA virus
1016855,Viruses,Badnavirus,Banana streak UI virus
1016856,Viruses,Badnavirus,Banana streak UL virus
1016857,Viruses,Badnavirus,Banana streak UM virus
1016879,Viruses,Piscihepevirus,Piscihepevirus A
101688,Viruses,Cheravirus,Apple latent spherical virus
1016987,Bacteria,Novosphingobium,Novosphingobium sp. THN1
1016998,Bacteria,Salmonella,Salmonella enterica
1017,Bacteria,Capnocytophaga,Capnocytophaga gingivalis
1017264,Bacteria,Bordetella,Bordetella pertussis
1017266,Bacteria,Lactococcus,Lactococcus garvieae
1017270,Bacteria,Fictibacillus,Fictibacillus enclensis
1017273,Bacteria,Domibacillus,Domibacillus enclensis
1017277,Bacteria,Exiguobacterium,Exiguobacterium enclense
1017319,Bacteria,Rhodococcus,Rhodococcus sp. Eu-32
101764,Viruses,Carlavirus,Aconitum latent virus
1018,Bacteria,Capnocytophaga,Capnocytophaga ochracea
101850,Viruses,Alphabaculovirus,Thysanoplusia orichalcea nucleopolyhedrovirus
1019,Bacteria,Capnocytophaga,Capnocytophaga sputigena
102,Bacteria,Polaribacter,Polaribacter glomeratus
102125,Bacteria,Xenococcus,Xenococcus sp. PCC 7305
102127,Bacteria,Geitlerinema,Geitlerinema sp. PCC 7105
102129,Bacteria,Leptolyngbya,Leptolyngbya sp. PCC 7375
102148,Bacteria,Solobacterium,Solobacterium moorei
102232,Bacteria,Gloeocapsa,Gloeocapsa sp. PCC 73106
10243,Viruses,Orthopoxvirus,Cowpox virus
10245,Viruses,Orthopoxvirus,Vaccinia virus
10255,Viruses,Orthopoxvirus,Variola virus
10256,Viruses,Orthopoxvirus,Raccoonpox virus
10258,Viruses,Parapoxvirus,Orf virus
102608,Bacteria,Helicobacter,Helicobacter pylori
10261,Viruses,Avipoxvirus,Fowlpox virus
102611,Bacteria,Helicobacter,Helicobacter pylori
102616,Bacteria,Helicobacter,Helicobacter pylori
102617,Bacteria,Helicobacter,Helicobacter pylori
102618,Bacteria,Helicobacter,Helicobacter pylori
10264,Viruses,Avipoxvirus,Pigeonpox virus
10266,Viruses,Capripoxvirus,Sheeppox virus
102684,Bacteria,Streptococcus,Streptococcus infantarius
1026882,Bacteria,Methylophaga,Methylophaga aminisulfidivorans
1026955,Viruses,,Synechococcus phage S-CRM01
10271,Viruses,Leporipoxvirus,Rabbit fibroma virus
1027232,Viruses,,Groundnut ringspot and Tomato chlorotic spot virus reassortant
1027244,Viruses,Mamastrovirus,Bovine astrovirus B170/HK
1027245,Viruses,Mamastrovirus,Bovine astrovirus B18/HK
1027247,Viruses,Mamastrovirus,Bovine astrovirus B76-2/HK
1027248,Viruses,Mamastrovirus,Bovine astrovirus B76/HK
1027249,Bacteria,Gracilibacillus,Gracilibacillus kekensis
1027253,Viruses,,Stenotrophomonas phage phiSHP2
1027273,Bacteria,Endozoicomonas,Endozoicomonas montiporae
1027292,Bacteria,Sporosarcina,Sporosarcina newyorkensis
10273,Viruses,Leporipoxvirus,Myxoma virus
1027360,Bacteria,Edwardsiella,Edwardsiella ictaluri
1027364,Bacteria,Edwardsiella,Edwardsiella tarda
1027371,Bacteria,Gordonia,Gordonia alkanivorans
1027372,Bacteria,Enterococcus,Enterococcus faecalis
1027396,Bacteria,Listeria,Listeria monocytogenes
1027397,Bacteria,Erwinia,Erwinia amylovora
1027468,Viruses,,Farmington virus
10276,Viruses,Suipoxvirus,Swinepox virus
1027620,Bacteria,Nocardioides,Nocardioides sp. LS1
1027633,Bacteria,Enteractinococcus,Enteractinococcus coprophilus
1027869,Viruses,Marafivirus,Switchgrass mosaic virus
1027880,Viruses,Tymovirus,Asclepias asymptomatic virus
1027947,Viruses,,Macrobrachium rosenbergii Taihu virus
1028,Bacteria,Marivirga,Marivirga sericea
10280,Viruses,Molluscipoxvirus,Molluscum contagiosum virus
1028307,Bacteria,Klebsiella,Klebsiella aerogenes
1028414,Bacteria,Psychrobacter,Psychrobacter sp. DAB_AL32B
1028416,Bacteria,Psychrobacter,Psychrobacter sp. DAB_AL43B
1028490,Bacteria,Lactobacillus,Lactobacillus pentosus
102862,Bacteria,Proteus,Proteus penneri
1028729,Eukaryota,Fusarium,Fusarium pseudograminearum
1028742,Bacteria,Altererythrobacter,Altererythrobacter gangjinensis
1028743,Bacteria,Arenibacter,Arenibacter hampyeongensis
1028746,Bacteria,Gramella,Gramella aestuarii
1028752,Bacteria,Shewanella,Shewanella aestuarii
1028799,Bacteria,Staphylococcus,Staphylococcus aureus
10288,Viruses,Betaentomopoxvirus,Choristoneura biennis entomopoxvirus
1028800,Bacteria,Neorhizobium,Neorhizobium galegae
